trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.985, 'e': 0.08385747890369792}",30,16,18.79920425062529,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.985, 'e': 0.08259961672014245}",35,0,-5.07836997754819,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.985, 'e': 0.08136062246934031}",20,2,19.64252375380823,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.985, 'e': 0.08014021313230021}",25,12,21.87095663972229,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.985, 'e': 0.0789381099353157}",25,18,10.77876130737307,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.985, 'e': 0.07775403828628596}",25,13,25.04208390373436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.985, 'e': 0.07658772771199168}",35,23,23.401154036623954,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.985, 'e': 0.0754389117963118}",25,12,16.329417462863614,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.985, 'e': 0.07430732811936712}",25,18,11.343313309978054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.985, 'e': 0.07319271819757661}",35,14,31.88743123560459,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.985, 'e': 0.07209482742461297}",30,16,25.69802422967523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.985, 'e': 0.07101340501324377}",20,0,31.135343331927277,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.985, 'e': 0.06994820393804511}",25,8,24.9565360812826,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.985, 'e': 0.06889898087897443}",25,20,10.366077996242414,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.985, 'e': 0.06786549616578982}",20,9,23.99241634302574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.985, 'e': 0.06684751372330297}",25,9,-48.06888016897345,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
180,False,"{'a': 0.985, 'e': 0.06584480101745342}",30,12,33.172900044690735,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.985, 'e': 0.06485712900219162}",30,20,17.265156876882777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.985, 'e': 0.06388427206715874}",25,2,23.39615313471822,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.985, 'e': 0.06292600798615136}",25,14,22.271398552469833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
